crossover_rank,scaling,grid_size,processes,method,R_T,R_T_ci_lower,R_T_ci_upper,runtime_penalty_pct,ci_lower_runtime_penalty_pct,R_k,R_k_ci_lower,R_k_ci_upper,iteration_change_pct,iteration_reduction_pct,R_C,R_C_ci_lower,R_C_ci_upper,per_iteration_cost_change_pct,decomposition_pattern,runtime_conclusion,screening_RT_le_1_20
58,weak,2896,128,BJ,2.50786353046509,2.25913856512045,2.67419788287543,150.786353046509,125.913856512045,0.393258426966292,0.393258426966292,0.393258426966292,-60.6741573033708,60.6741573033708,6.37713869175407,5.74466663702058,6.80010318788325,537.713869175407,iteration_gain_but_per_iteration_penalty,CG_faster,False
59,strong,1024,4,AS2,2.51759669744321,2.5074460584296,2.52701066465322,151.759669744321,150.74460584296,0.304531085353003,0.304531085353003,0.304531085353003,-69.5468914646997,69.5468914646997,8.26712548745192,8.23379345830342,8.29803848012426,726.712548745192,iteration_gain_but_per_iteration_penalty,CG_faster,False
60,strong,2048,2,AS1,2.52185584816187,2.49208938274981,2.55251871348291,152.185584816187,149.208938274981,0.300575013068479,0.300575013068479,0.300575013068479,-69.9424986931521,69.9424986931521,8.39010476092808,8.29107302469634,8.49211878068314,739.010476092808,iteration_gain_but_per_iteration_penalty,CG_faster,False
61,weak,512,4,AS2,2.54357456114769,2.52444988743853,2.56300218151954,154.357456114769,152.444988743853,0.310308182784272,0.310308182784272,0.310308182784272,-68.9691817215728,68.9691817215728,8.19693034945196,8.13529912356047,8.25953785208867,719.693034945196,iteration_gain_but_per_iteration_penalty,CG_faster,False
62,strong,512,4,AS2,2.54482460949803,2.525497280956,2.56468138961717,154.482460949803,152.5497280956,0.310308182784272,0.310308182784272,0.310308182784272,-68.9691817215728,68.9691817215728,8.20095875869058,8.13867445677944,8.26494927270466,720.095875869058,iteration_gain_but_per_iteration_penalty,CG_faster,False
63,weak,1448,32,BJ,2.57155062446231,2.56152145453983,2.58171711055301,157.155062446231,156.152145453983,0.380475129918337,0.380475129918337,0.380475129918337,-61.9524870081663,61.9524870081663,6.75878769005021,6.73242809612713,6.78550819105348,575.878769005021,iteration_gain_but_per_iteration_penalty,CG_faster,False
64,weak,2048,64,AS1,2.73804594272658,2.68491758430701,2.77149692169115,173.804594272658,168.491758430701,0.283063251437533,0.283063251437533,0.283063251437533,-71.6936748562467,71.6936748562467,9.67291207467396,9.48522130891841,9.79108700128379,867.291207467396,iteration_gain_but_per_iteration_penalty,CG_faster,False
65,strong,2048,64,AS1,2.74242459688503,2.68948701512167,2.77602321731569,174.242459688503,168.948701512167,0.283063251437533,0.283063251437533,0.283063251437533,-71.6936748562467,71.6936748562467,9.68838089351998,9.50136409958957,9.80707740484749,868.838089351998,iteration_gain_but_per_iteration_penalty,CG_faster,False
66,weak,724,8,AS1,2.83473508563659,2.82122885572572,2.84742691335882,183.473508563659,182.122885572572,0.339820359281437,0.339820359281437,0.339820359281437,-66.0179640718563,66.0179640718563,8.34186360002308,8.30211839482284,8.37921223843037,734.186360002308,iteration_gain_but_per_iteration_penalty,CG_faster,False
67,weak,724,8,AS2,2.85325665459131,2.84032586714889,2.86555056417503,185.325665459131,184.032586714889,0.336077844311377,0.336077844311377,0.336077844311377,-66.3922155688623,66.3922155688623,8.48986835308238,8.45139278064793,8.52644889473907,748.986835308238,iteration_gain_but_per_iteration_penalty,CG_faster,False
