scaling,grid_size,processes,method,n_CG,n_M,T_CG_mean_s,T_M_mean_s,k_CG_mean,k_M_mean,C_CG_s_per_iter,C_M_s_per_iter,R_T,R_k,R_C,R_k_times_R_C,identity_abs_error,identity_pass,screening_RT_le_1_20
strong,1024,32,BJ,5,5,0.3794166,0.766943,1898.0,596.0,0.00019990337197049526,0.0012868171140939598,2.0213743942674096,0.31401475237091675,6.4371956381200395,2.0213743942674096,0.0,True,False
strong,1024,32,AS1,5,5,0.3794166,0.8067808,1898.0,562.0,0.00019990337197049526,0.001435553024911032,2.126371908872727,0.29610115911485774,7.181234667331737,2.126371908872727,0.0,True,False
strong,1024,32,AS2,5,5,0.3794166,0.865681,1898.0,571.0,0.00019990337197049526,0.0015160788091068303,2.281610767689131,0.30084299262381453,7.584058208535851,2.281610767689131,0.0,True,False
strong,1024,64,BJ,5,5,0.2806564,0.583699,1898.0,636.0,0.0001478695468914647,0.0009177657232704402,2.0797637253239194,0.3350895679662803,6.206590488466665,2.0797637253239194,0.0,True,False
strong,1024,64,AS1,5,5,0.2806564,0.6074724,1898.0,567.0,0.0001478695468914647,0.0010713798941798943,2.1644701492643676,0.2987355110642782,7.245439758913174,2.1644701492643676,0.0,True,False
strong,1024,64,AS2,5,5,0.2806564,0.7012617999999999,1898.0,566.0,0.0001478695468914647,0.0012389784452296819,2.4986488816930597,0.2982086406743941,8.378861444264006,2.4986488816930597,0.0,True,False
strong,2048,1,BJ,5,5,156.103,208.33859999999999,3826.0,764.0,0.04080057501306848,0.27269450261780104,1.3346226529919347,0.19968635650810246,6.6835945946952116,1.3346226529919345,2.220446049250313e-16,True,False
strong,2048,1,AS1,5,5,156.103,239.8098,3826.0,764.0,0.04080057501306848,0.3138871727748691,1.5362280033055098,0.19968635650810246,7.693204634354555,1.5362280033055098,0.0,True,False
strong,2048,1,AS2,5,5,156.103,240.78119999999998,3826.0,764.0,0.04080057501306848,0.31515863874345545,1.5424508177293195,0.19968635650810246,7.724367576743948,1.5424508177293195,0.0,True,False
strong,2048,2,BJ,5,5,56.531780000000005,130.695,3826.0,1215.0,0.01477568740198641,0.1075679012345679,2.3118854562867113,0.3175640355462624,7.2800607043234224,2.3118854562867113,0.0,True,False
